ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4930	"ENSG00000205581.6"	"HMGN1"	chr21	-	40720347	40720503	40720347	40720377	40720470	40720503	4930	40,40	417,389	13,5	543,404	191	99	3.28429727858e-10	3.76380468125e-08	0.047,0.051	0.012,0.006	0.04
477	"ENSG00000143761.9"	"ARF1"	chr1	+	228284778	228285153	228284778	228284963	228285042	228285153	477	52,86	1190,1426	12,5	1011,735	177	99	3.37571304243e-10	3.81766494733e-08	0.024,0.033	0.007,0.004	0.023
7403	"ENSG00000175061.13"	"C17orf76-AS1"	chr17	+	16342640	16343567	16342640	16343017	16343498	16343567	7403	28,71	288,618	63,68	201,196	197	99	3.94839161366e-10	4.40732804148e-08	0.047,0.055	0.136,0.148	-0.091
11664	"ENSG00000204628.7"	"GNB2L1"	chr5	-	180668491	180669345	180668491	180668639	180669173	180669345	11664	143,267	5823,3898	105,79	5749,4538	197	99	4.2844217063e-10	4.72110314944e-08	0.012,0.033	0.009,0.009	0.013
7944	"ENSG00000132463.9"	"GRSF1"	chr4	-	71691012	71691962	71691012	71691148	71691840	71691962	7944	60,77	137,132	29,20	193,154	197	99	5.52904610984e-10	6.01546219166e-08	0.18,0.227	0.07,0.061	0.138
8256	"ENSG00000108107.8"	"RPL28"	chr19	+	55897937	55899416	55897937	55898061	55899297	55899416	8256	182,244	5626,4944	69,31	5240,3498	197	99	6.719338419e-10	7.21908921391e-08	0.016,0.024	0.007,0.004	0.015
12744	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179044756	179045004	179044756	179044933	179044989	179045004	12744	648,347	1255,691	4,5	69,51	154	99	8.40782665712e-10	8.92163828617e-08	0.249,0.244	0.036,0.059	0.199
7535	"ENSG00000166986.8"	"MARS"	chr12	+	57910027	57910438	57910027	57910120	57910217	57910438	7535	49,118	347,369	31,21	416,342	195	99	9.77277925251e-10	1.02435411799e-07	0.067,0.14	0.036,0.03	0.071
7197	"ENSG00000076604.10"	"TRAF4"	chr17	+	27074860	27075196	27074860	27074965	27075034	27075196	7197	104,126	259,230	47,29	266,205	167	99	1.14479903335e-09	1.18548767369e-07	0.192,0.245	0.095,0.077	0.133
1820	"ENSG00000149136.3"	"SSRP1"	chr11	-	57095770	57097612	57095770	57095900	57097566	57097612	1820	33,52	842,721	15,10	1214,1091	197	99	1.20352039445e-09	1.21727753406e-07	0.019,0.035	0.006,0.005	0.022
8492	"ENSG00000090316.11"	"MAEA"	chr4	+	1332209	1333924	1332209	1332405	1332861	1333924	8492	67,81	67,108	29,16	108,92	197	99	1.20382304125e-09	1.21727753406e-07	0.334,0.274	0.119,0.08	0.205
8769	"ENSG00000198755.6"	"RPL10A"	chr6	+	35436575	35436804	35436575	35436650	35436723	35436804	8769	74,115	2677,2367	13,8	2753,2318	171	99	1.34945654651e-09	1.34867197875e-07	0.016,0.027	0.003,0.002	0.019
7183	"ENSG00000160201.7"	"U2AF1"	chr21	-	44513065	44514673	44513065	44513359	44514580	44514673	7183	75,144	184,278	39,20	211,180	197	99	1.40633804602e-09	1.38936500064e-07	0.17,0.207	0.085,0.053	0.119
7747	"ENSG00000159352.11"	"PSMD4"	chr1	+	151237307	151237710	151237307	151237394	151237641	151237710	7747	30,43	221,415	16,12	530,503	197	99	1.66022906534e-09	1.62155327461e-07	0.064,0.049	0.015,0.012	0.043
99	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10825683	10825895	10825683	10825750	10825833	10825895	99	83,54	842,482	2,1	219,185	181	99	1.87216908643e-09	1.80801048291e-07	0.051,0.058	0.005,0.003	0.051
4265	"ENSG00000187514.10"	"PTMA"	chr2	+	232576057	232576693	232576057	232576129	232576596	232576693	4265	69,97	195,312	40,31	330,312	197	99	1.93102644985e-09	1.84413025961e-07	0.151,0.135	0.057,0.048	0.091
5076	"ENSG00000106263.13"	"EIF3B"	chr7	+	2418323	2418877	2418323	2418401	2418768	2418877	5076	39,89	487,411	27,15	564,438	197	99	2.20861862132e-09	2.0860524231e-07	0.039,0.098	0.023,0.017	0.049
12673	"ENSG00000164405.6"	"UQCRQ"	chr5	+	132202560	132203379	132202560	132202727	132203179	132203379	12673	87,138	723,816	55,37	900,767	197	99	2.30325958306e-09	2.15179523004e-07	0.057,0.078	0.03,0.024	0.041
661	"ENSG00000213593.5"	"TMX2"	chr11	+	57506419	57506653	57506419	57506511	57506602	57506653	661	111,44	346,180	8,8	149,125	189	99	2.36765484996e-09	2.18817133714e-07	0.144,0.114	0.027,0.032	0.1
12568	"ENSG00000204469.8"	"PRRC2A"	chr6	+	31603358	31603826	31603358	31603526	31603743	31603826	12568	80,102	793,965	39,18	961,661	197	99	2.4248262287e-09	2.21716823784e-07	0.048,0.05	0.02,0.014	0.032
8827	"ENSG00000101365.16"	"IDH3B"	chr20	-	2641102	2641475	2641102	2641236	2641342	2641475	8827	64,98	445,345	31,20	419,357	197	99	2.55204379851e-09	2.30892804718e-07	0.067,0.125	0.036,0.027	0.065
11673	"ENSG00000204628.7"	"GNB2L1"	chr5	-	180663928	180664719	180663928	180664042	180664608	180664719	11673	114,175	2202,1763	65,40	2060,1498	197	99	2.74947098422e-09	2.46163574056e-07	0.025,0.048	0.016,0.013	0.022
9342	"ENSG00000082898.12"	"XPO1"	chr2	-	61711071	61713097	61711071	61711240	61712902	61713097	9342	78,69	900,692	29,16	870,681	197	99	2.87788182174e-09	2.55004064514e-07	0.042,0.048	0.016,0.012	0.031
4245	"ENSG00000149923.9"	"PPP4C"	chr16	+	30094066	30094888	30094066	30094168	30094714	30094888	4245	57,116	114,99	17,9	113,89	197	99	3.55495088922e-09	3.11783702988e-07	0.201,0.371	0.07,0.048	0.227
8288	"ENSG00000089693.6"	"MLF2"	chr12	-	6859342	6859932	6859342	6859471	6859878	6859932	8288	64,87	260,236	27,17	267,213	197	99	3.79627773661e-09	3.29585930769e-07	0.11,0.156	0.048,0.039	0.09
996	"ENSG00000140983.9"	"RHOT2"	chr16	+	719552	720175	719552	719606	720122	720175	996	69,75	76,61	30,18	93,76	197	99	5.78630854342e-09	4.97333219307e-07	0.313,0.382	0.139,0.106	0.225
10334	"ENSG00000253729.3"	"PRKDC"	chr8	-	48691097	48691324	48691097	48691221	48691288	48691324	10334	93,59	181,116	1,1	43,37	165	99	5.84815740279e-09	4.97672404723e-07	0.236,0.234	0.014,0.016	0.22
9603	"ENSG00000129084.13"	"PSMA1"	chr11	-	14535362	14536037	14535362	14535433	14535948	14536037	9603	113,158	830,539	67,51	800,632	197	99	6.23221618756e-09	5.2515586404e-07	0.064,0.128	0.04,0.039	0.057
9488	"ENSG00000149100.8"	"EIF3M"	chr11	+	32615411	32616559	32615411	32615495	32616459	32616559	9488	108,105	1081,883	49,36	1104,915	197	99	7.62088570028e-09	6.35937015475e-07	0.048,0.056	0.022,0.019	0.032
3659	"ENSG00000182087.8"	"TMEM259"	chr19	-	1011365	1011611	1011365	1011498	1011578	1011611	3659	43,48	227,178	18,9	282,194	178	99	1.02743048513e-08	8.49112021124e-07	0.095,0.13	0.034,0.025	0.083
9744	"ENSG00000229117.4"	"RPL41"	chr12	+	56510416	56510647	56510416	56510443	56510558	56510647	9744	490,893	6805,6815	329,332	6418,6360	197	99	1.08567749235e-08	8.88704575881e-07	0.035,0.062	0.025,0.026	0.023
5291	"ENSG00000171863.8"	"RPS7"	chr2	+	3622914	3623274	3622914	3623038	3623181	3623274	5291	34,42	18,15	9,7	32,24	197	99	1.21013090659e-08	9.72204074723e-07	0.487,0.585	0.124,0.128	0.41
8767	"ENSG00000198755.6"	"RPL10A"	chr6	+	35436196	35436650	35436196	35436216	35436575	35436650	8767	38,106	1512,1568	23,13	1633,1278	197	99	1.21030641065e-08	9.72204074723e-07	0.012,0.033	0.007,0.005	0.017
3920	"ENSG00000134107.4"	"BHLHE40"	chr3	+	5021646	5022093	5021646	5021716	5021985	5022093	3920	226,84	497,212	61,29	316,218	197	99	1.33686200998e-08	1.06391934961e-06	0.186,0.166	0.088,0.063	0.1
3640	"ENSG00000166483.6"	"WEE1"	chr11	+	9597603	9597840	9597603	9597640	9597776	9597840	3640	31,31	42,373	1,1	118,157	197	99	1.35086771769e-08	1.06520257188e-06	0.271,0.04	0.004,0.003	0.152
6484	"ENSG00000135446.12"	"CDK4"	chr12	-	58144989	58145519	58144989	58145125	58145282	58145519	6484	25,35	296,290	9,5	396,335	197	99	1.41114935293e-08	1.10262078986e-06	0.041,0.057	0.011,0.007	0.04
7019	"ENSG00000111057.6"	"KRT18"	chr12	+	53344111	53344690	53344111	53344194	53344533	53344690	7019	51,50	1070,614	14,8	872,603	197	99	1.44439372685e-08	1.1184291966e-06	0.023,0.039	0.008,0.007	0.024
7794	"ENSG00000173113.2"	"TRMT112"	chr11	-	64084162	64084619	64084162	64084440	64084529	64084619	7794	46,140	590,803	16,13	440,340	187	99	1.56083835856e-08	1.19780407963e-06	0.04,0.085	0.019,0.02	0.043
1585	"ENSG00000182199.6"	"SHMT2"	chr12	+	57625993	57626358	57625993	57626075	57626235	57626358	1585	43,67	523,343	24,15	555,439	197	99	1.82354998879e-08	1.38702762422e-06	0.04,0.089	0.021,0.017	0.045
2205	"ENSG00000138385.11"	"SSB"	chr2	+	170664986	170665412	170664986	170665063	170665369	170665412	2205	39,61	984,748	21,12	1076,905	197	99	1.84633628386e-08	1.39204038244e-06	0.02,0.039	0.01,0.007	0.021
1675	"ENSG00000116691.6"	"MIIP"	chr1	+	12089279	12090181	12089279	12089951	12090084	12090181	1675	94,98	15,19	61,35	46,27	197	99	1.92359158602e-08	1.43767562451e-06	0.759,0.722	0.4,0.394	0.343
11238	"ENSG00000131795.8"	"RBM8A"	chr1	+	145508015	145508284	145508015	145508075	145508206	145508284	11238	128,178	306,406	53,32	271,233	197	99	2.24020202388e-08	1.63174037248e-06	0.174,0.181	0.089,0.065	0.1
3287	"ENSG00000179632.5"	"MAF1"	chr8	+	145161245	145161577	145161245	145161367	145161457	145161577	3287	58,106	219,234	30,22	256,190	188	99	2.21172327119e-08	1.63174037248e-06	0.122,0.193	0.058,0.057	0.1
998	"ENSG00000140983.9"	"RHOT2"	chr16	+	720122	720357	720122	720175	720248	720357	998	48,68	68,95	19,14	101,78	171	99	2.23257111687e-08	1.63174037248e-06	0.29,0.293	0.098,0.094	0.195
