Gene	Ensembl_Gene_ID	Chromosome	Gene_start	Gene_end
SDF4	ENSG00000078808	1	1216931	1232031
B3GALT6	ENSG00000176022	1	1232237	1235041
C1QTNF12	ENSG00000184163	1	1242446	1246722
UBE2J2	ENSG00000160087	1	1253909	1273864
LINC01786	ENSG00000230415	1	1275223	1280420
SCNN1D	ENSG00000162572	1	1280436	1292029
ACAP3	ENSG00000131584	1	1292390	1309609
MIR6726	ENSG00000278073	1	1296110	1296170
PUSL1	ENSG00000169972	1	1308597	1311677
INTS11	ENSG00000127054	1	1311585	1324687
MIR6727	ENSG00000283712	1	1312502	1312566
CPTP	ENSG00000224051	1	1324756	1328896
TAS1R3	ENSG00000169962	1	1331280	1335314
DVL1	ENSG00000107404	1	1335276	1349418
MIR6808	ENSG00000284372	1	1339650	1339708
MXRA8	ENSG00000162576	1	1352689	1361777
AURKAIP1	ENSG00000175756	1	1373730	1375207
NDUFB4P8	ENSG00000223663	1	1378666	1379032
CCNL2	ENSG00000221978	1	1385711	1399335
MRPL20-AS1	ENSG00000224870	1	1399515	1402046
MRPL20	ENSG00000242485	1	1401909	1407293
RN7SL657P	ENSG00000264293	1	1405460	1405752
MRPL20-DT	ENSG00000272455	1	1409096	1410618
ANKRD65	ENSG00000235098	1	1418420	1421769
ANKRD65-AS1	ENSG00000225905	1	1420245	1422691
TMEM88B	ENSG00000205116	1	1425871	1430255
LINC01770	ENSG00000225285	1	1430539	1434573
VWA1	ENSG00000179403	1	1434861	1442882
ATAD3C	ENSG00000215915	1	1449689	1470163
ATAD3B	ENSG00000160072	1	1471765	1497848
ATAD3A	ENSG00000197785	1	1512162	1534685
TMEM240	ENSG00000205090	1	1534778	1540624
SSU72	ENSG00000160075	1	1541673	1574863
FNDC10	ENSG00000228594	1	1598012	1600135
MIB2	ENSG00000197530	1	1615454	1630605
MMP23B	ENSG00000189409	1	1632163	1635263
CDK11B	ENSG00000248333	1	1635225	1659012
SLC35E2B	ENSG00000189339	1	1659529	1692795
MMP23A	ENSG00000215914	1	1699942	1701782
CDK11A	ENSG00000008128	1	1702379	1724357
SLC35E2A	ENSG00000215790	1	1734690	1739557
NADK	ENSG00000008130	1	1751232	1780457
GNB1	ENSG00000078369	1	1785285	1892292
GNB1-DT	ENSG00000231050	1	1891223	1892726
CALML6	ENSG00000169885	1	1915108	1917296
TMEM52	ENSG00000178821	1	1917590	1919279
CFAP74	ENSG00000142609	1	1921951	2003837
GABRD	ENSG00000187730	1	2019329	2030758
PRKCZ-DT	ENSG00000226969	1	2049203	2050070
PRKCZ	ENSG00000067606	1	2050411	2185395
PRKCZ-AS1	ENSG00000182873	1	2181794	2184389
FAAP20	ENSG00000162585	1	2184461	2212720
SKI	ENSG00000157933	1	2227388	2310213
MORN1	ENSG00000116151	1	2321253	2391707
RER1	ENSG00000157916	1	2391775	2405442
PEX10	ENSG00000157911	1	2403964	2413797
PLCH2	ENSG00000149527	1	2425980	2505532
PANK4	ENSG00000157881	1	2508537	2526597
HES5	ENSG00000197921	1	2528745	2530263
TNFRSF14-AS1	ENSG00000238164	1	2549920	2557031
TNFRSF14	ENSG00000157873	1	2555639	2565382
PRXL2B	ENSG00000157870	1	2586491	2591469
MMEL1	ENSG00000142606	1	2590639	2633016
MMEL1-AS1	ENSG00000237058	1	2632568	2636620
TTC34	ENSG00000215912	1	2636986	2801693
ACTRT2	ENSG00000169717	1	3021467	3022903
PRDM16-DT	ENSG00000177133	1	3059611	3069091
PRDM16	ENSG00000142611	1	3069168	3438621
MIR4251	ENSG00000283572	1	3127975	3128035
ARHGEF16	ENSG00000130762	1	3454665	3481113
MEGF6	ENSG00000162591	1	3487951	3611508
MIR551A	ENSG00000207776	1	3560695	3560790
TPRG1L	ENSG00000158109	1	3625015	3630127
WRAP73	ENSG00000116213	1	3630767	3652761
TP73	ENSG00000078900	1	3652516	3736201
TP73-AS3	ENSG00000227589	1	3658938	3668772
TP73-AS2	ENSG00000235131	1	3712200	3714298
TP73-AS1	ENSG00000227372	1	3735511	3747373
CCDC27	ENSG00000162592	1	3746460	3771645
SMIM1	ENSG00000235169	1	3772749	3775982
LRRC47	ENSG00000130764	1	3778559	3796498
RN7SL574P	ENSG00000266075	1	3782815	3783111
CEP104	ENSG00000116198	1	3812086	3857396
DFFB	ENSG00000169598	1	3857267	3885429
C1orf174	ENSG00000198912	1	3889125	3900293
LINC01134	ENSG00000236423	1	3900347	3917225
LINC01346	ENSG00000233304	1	3940486	3955262
LINC01345	ENSG00000226374	1	3944547	3949024
LINC02780	ENSG00000284668	1	3976133	4012704
EEF1DP6	ENSG00000229280	1	4175528	4175899
LINC01777	ENSG00000235054	1	4412027	4424689
LINC01646	ENSG00000232596	1	4571481	4594016
AJAP1	ENSG00000196581	1	4654609	4792534
LINC02781	ENSG00000284674	1	4973381	4981568
LINC02782	ENSG00000231510	1	5086459	5090899
MIR4689	ENSG00000264101	1	5862672	5862741
NPHP4	ENSG00000131697	1	5862811	5992473
KCNAB2	ENSG00000069424	1	5990927	6101193
CHD5	ENSG00000116254	1	6101787	6180321
RPL22	ENSG00000116251	1	6185020	6209389
RNF207-AS1	ENSG00000226944	1	6204840	6205780
RNF207	ENSG00000158286	1	6205475	6221299
ICMT	ENSG00000116237	1	6221193	6235972
ICMT-DT	ENSG00000225077	1	6234692	6239444
HES3	ENSG00000173673	1	6244179	6245578
GPR153	ENSG00000158292	1	6247353	6261098
ACOT7	ENSG00000097021	1	6264269	6393767
HES2	ENSG00000069812	1	6412418	6424670
ESPN	ENSG00000187017	1	6424776	6461367
MIR4252	ENSG00000265392	1	6429834	6429896
TNFRSF25	ENSG00000215788	1	6460786	6466175
PLEKHG5	ENSG00000171680	1	6467122	6520074
NOL9	ENSG00000162408	1	6521347	6554513
RNU6-731P	ENSG00000253022	1	6540854	6540964
TAS1R1	ENSG00000173662	1	6555307	6579755
ZBTB48	ENSG00000204859	1	6579994	6589280
KLHL21	ENSG00000162413	1	6590724	6614607
PHF13	ENSG00000116273	1	6613731	6624030
THAP3	ENSG00000041988	1	6624868	6635586
DNAJC11	ENSG00000007923	1	6634168	6701924
LINC01672	ENSG00000228750	1	6724637	6730012
CAMTA1-DT	ENSG00000237436	1	6783892	6784843
CAMTA1	ENSG00000171735	1	6785454	7769706
RNU1-8P	ENSG00000207056	1	7219360	7219524
CAMTA1-IT1	ENSG00000237402	1	7368942	7370270
CAMTA1-AS2	ENSG00000237728	1	7382487	7389754
CAMTA1-AS1	ENSG00000225126	1	7441096	7441554
VAMP3	ENSG00000049245	1	7771296	7781432
PER3	ENSG00000049246	1	7784291	7845177
UTS2	ENSG00000049247	1	7843083	7853512
TNFRSF9	ENSG00000049249	1	7915871	7943165
PARK7	ENSG00000116288	1	7954291	7985505
Y_RNA	ENSG00000200344	1	7982881	7982983
ERRFI1	ENSG00000116285	1	8004404	8026309
ERRFI1-DT	ENSG00000238290	1	8026738	8122702
RPL7AP18	ENSG00000232848	1	8057245	8058463
LINC01714	ENSG00000227634	1	8201518	8215210
RNU1-7P	ENSG00000200975	1	8206434	8206597
RNU6-991P	ENSG00000251977	1	8292157	8292263
SLC45A1	ENSG00000162426	1	8318114	8344167
Y_RNA	ENSG00000252254	1	8328067	8328179
RERE	ENSG00000142599	1	8352397	8848921
RERE-AS1	ENSG00000232912	1	8424645	8435013
RPL7P11	ENSG00000234619	1	8750430	8751087
RPL7P7	ENSG00000224315	1	8786211	8786913
Y_RNA	ENSG00000222511	1	8796571	8796673
RPL23AP19	ENSG00000229716	1	8831007	8831375
ENO1	ENSG00000074800	1	8861000	8879190
MIR6728	ENSG00000274258	1	8866502	8866590
ENO1-AS1	ENSG00000230679	1	8878835	8879894
RNU6-304P	ENSG00000201725	1	8883427	8883533
HMGN2P17	ENSG00000238249	1	8893409	8894151
CA6	ENSG00000131686	1	8945867	8975092
RN7SL451P	ENSG00000265141	1	8979576	8979874
SLC2A7	ENSG00000197241	1	9002973	9026423
SLC2A5	ENSG00000142583	1	9035106	9088478
GPR157	ENSG00000180758	1	9100305	9129102
MIR34AHG	ENSG00000228526	1	9148011	9198906
MIR34A	ENSG00000284357	1	9151668	9151777
LNCTAM34A	ENSG00000234546	1	9182004	9196284
H6PD	ENSG00000049239	1	9234774	9271337
SPSB1	ENSG00000171621	1	9292894	9369532
LINC02606	ENSG00000284693	1	9425094	9440564
RNA5SP40	ENSG00000252956	1	9437669	9437778
SLC25A33	ENSG00000171612	1	9539465	9585173
TMEM201	ENSG00000188807	1	9588911	9614877
PIK3CD	ENSG00000171608	1	9629889	9729114
PIK3CD-AS1	ENSG00000179840	1	9652610	9654586
PIK3CD-AS2	ENSG00000231789	1	9672405	9687583
CLSTN1	ENSG00000171603	1	9728926	9823984
MZT1P1	ENSG00000271264	1	9780822	9781240
CTNNBIP1	ENSG00000178585	1	9848276	9910336
LZIC	ENSG00000162441	1	9922113	9943407
NMNAT1	ENSG00000173614	1	9943428	9985501
RN7SKP269	ENSG00000202415	1	9947318	9947636
TMEM274P	ENSG00000283611	1	9950572	9960787
MIR5697	ENSG00000265521	1	9967381	9967458
RBP7	ENSG00000162444	1	9997206	10016021
UBE4B	ENSG00000130939	1	10032832	10181239
PGAM1P11	ENSG00000233623	1	10058671	10059648
RNU6-828P	ENSG00000201746	1	10163268	10163374
KIF1B	ENSG00000054523	1	10210570	10381603
RNU6-37P	ENSG00000199562	1	10298966	10299072
RN7SL731P	ENSG00000264501	1	10306465	10306757
PGD	ENSG00000142657	1	10398592	10420511
CENPS-CORT	ENSG00000251503	1	10430102	10452153
CENPS	ENSG00000175279	1	10430433	10442808
CORT	ENSG00000241563	1	10450031	10451998
DFFA	ENSG00000160049	1	10456522	10472529
PEX14	ENSG00000142655	1	10472288	10630758
RN7SL614P	ENSG00000243267	1	10616836	10617115
CASZ1	ENSG00000130940	1	10636604	10796650
HSPE1P24	ENSG00000225158	1	10895761	10895998
C1orf127	ENSG00000175262	1	10946471	10982076
CFL1P6	ENSG00000215785	1	10990978	10991797
TARDBP	ENSG00000120948	1	11012344	11030528
MASP2	ENSG00000009724	1	11022009	11047239
SRM	ENSG00000116649	1	11054584	11060020
EXOSC10	ENSG00000171824	1	11066618	11099869
EXOSC10-AS1	ENSG00000230337	1	11099430	11102105
MTOR	ENSG00000198793	1	11106535	11262556
MTOR-AS1	ENSG00000225602	1	11143898	11149537
RNU6-537P	ENSG00000253086	1	11152350	11152452
ANGPTL7	ENSG00000171819	1	11189355	11195981
RNU6-291P	ENSG00000207451	1	11226254	11226360
RPL39P6	ENSG00000238173	1	11232963	11233112
UBIAD1	ENSG00000120942	1	11273198	11296049
UBE2V2P3	ENSG00000238199	1	11278616	11279351
MTCYBP45	ENSG00000224338	1	11425257	11425821
DISP3	ENSG00000204624	1	11479155	11537551
LINC01647	ENSG00000235643	1	11609468	11613358
FBXO2	ENSG00000116661	1	11637018	11655785
FBXO44	ENSG00000132879	1	11654375	11663327
MAD2L2	ENSG00000116670	1	11658918	11691811
FBXO6	ENSG00000116663	1	11664200	11674354
DRAXIN	ENSG00000162490	1	11691710	11725857
AGTRAP	ENSG00000177674	1	11736084	11754802
C1orf167	ENSG00000215910	1	11761787	11789585
C1orf167-AS1	ENSG00000177553	1	11777077	11779619
MTHFR	ENSG00000177000	1	11785723	11806455
CLCN6	ENSG00000011021	1	11806096	11848079
NPPA	ENSG00000175206	1	11845709	11848345
NPPB	ENSG00000120937	1	11857464	11858945
SBF1P2	ENSG00000224904	1	11877770	11880406
RNU5E-1	ENSG00000199347	1	11908152	11908271
RNU5E-4P	ENSG00000201801	1	11909808	11909927
KIAA2013	ENSG00000116685	1	11919591	11926428
PLOD1	ENSG00000083444	1	11934205	11975538
MFN2	ENSG00000116688	1	11980181	12015211
MIIP	ENSG00000116691	1	12019466	12032045
Y_RNA	ENSG00000202461	1	12024012	12024124
MIR6729	ENSG00000276869	1	12029158	12029222
RN7SL649P	ENSG00000243539	1	12036740	12037014
TNFRSF8	ENSG00000120949	1	12063303	12144207
RNU6-777P	ENSG00000201135	1	12077881	12077984
RPL23AP89	ENSG00000227875	1	12080293	12080547
MIR7846	ENSG00000283789	1	12166943	12167038
TNFRSF1B	ENSG00000028137	1	12166991	12209228
MIR4632	ENSG00000263676	1	12191713	12191773
RPL10P17	ENSG00000225196	1	12220794	12221109
SNORA70	ENSG00000252969	1	12221148	12221271
VPS13D	ENSG00000048707	1	12230030	12512047
SNORA59A	ENSG00000239149	1	12507246	12507397
LINC02766	ENSG00000229484	1	12525716	12530691
DHRS3	ENSG00000162496	1	12567910	12618210
RNU6ATAC18P	ENSG00000221340	1	12569972	12570072
MIR6730	ENSG00000276830	1	12578957	12579023
AADACL4	ENSG00000204518	1	12644085	12667076
AADACL3	ENSG00000188984	1	12716110	12728760
CFAP107	ENSG00000157330	1	12746200	12763699
PRAMEF12	ENSG00000116726	1	12773738	12777906
PRAMEF1	ENSG00000116721	1	12791397	12796628
LINC01784	ENSG00000228338	1	12822686	12823159
PRAMEF11	ENSG00000239810	1	12824605	12831410
PRAMEF30P	ENSG00000231103	1	12838125	12841357
HNRNPCL1	ENSG00000179172	1	12847377	12848720
PRAMEF2	ENSG00000120952	1	12857086	12861909
PRAMEF4	ENSG00000243073	1	12879212	12886201
PRAMEF10	ENSG00000187545	1	12892896	12898270
PRAMEF7	ENSG00000204510	1	12916610	12920751
RNU6-1072P	ENSG00000207434	1	12922554	12922660
PRAMEF29P	ENSG00000234064	1	12926162	12928253
PRAMEF6	ENSG00000232423	1	12938472	12947580
PRAMEF28P	ENSG00000274178	1	13029339	13032130
PRAMEF27	ENSG00000274764	1	13049476	13056575
HNRNPCL3	ENSG00000277058	1	13060769	13062878
PRAMEF25	ENSG00000229571	1	13068677	13077884
PRAMEF34P	ENSG00000277862	1	13095179	13097971
PRAMEF35P	ENSG00000236179	1	13104403	13105689
HNRNPCL2	ENSG00000275774	1	13115488	13116854
PRAMEF36P	ENSG00000229978	1	13128818	13131615
PRAMEF26	ENSG00000280267	1	13148905	13158116
HNRNPCL4	ENSG00000179412	1	13163914	13165631
PRAMEF9	ENSG00000204505	1	13171848	13179459
PRAMEF13	ENSG00000279169	1	13196188	13201409
PRAMEF18	ENSG00000279804	1	13222695	13226154
PRAMEF31P	ENSG00000250894	1	13245863	13248652
PRAMEF5	ENSG00000270601	1	13254198	13263435
PRAMEF32P	ENSG00000231219	1	13273539	13275627
RNU6-771P	ENSG00000207511	1	13279125	13279231
PRAMEF8	ENSG00000182330	1	13281304	13285137
PRAMEF33	ENSG00000237700	1	13303539	13308907
PRAMEF15	ENSG00000204501	1	13315581	13322598
PRAMEF14	ENSG00000204481	1	13341892	13347134
PRAMEF19	ENSG00000204480	1	13368431	13371947
PRAMEF17	ENSG00000204479	1	13389632	13392629
PRAMEF20	ENSG00000204478	1	13410450	13421328
LRRC38	ENSG00000162494	1	13474973	13514003
BRWD1P1	ENSG00000215909	1	13555001	13555694
PDPN	ENSG00000162493	1	13583465	13617957
RNA5SP41	ENSG00000222952	1	13623184	13623284
PRDM2	ENSG00000116731	1	13700188	13825079
KAZN	ENSG00000189337	1	13892792	15118043
RNU6-1265P	ENSG00000252151	1	14124233	14124335
KAZN-AS1	ENSG00000234593	1	14338825	14419973
TBCAP2	ENSG00000235829	1	14692129	14692613
TMEM51-AS1	ENSG00000175147	1	15111815	15153618
TMEM51	ENSG00000171729	1	15152532	15220478
TMEM51-AS2	ENSG00000204464	1	15164344	15171317
MFFP1	ENSG00000215720	1	15191828	15192845
ZBTB2P1	ENSG00000278480	1	15226373	15227549
FHAD1	ENSG00000142621	1	15236521	15400283
FHAD1-AS1	ENSG00000233485	1	15326680	15343876
EFHD2-AS1	ENSG00000228140	1	15402979	15409433
EFHD2	ENSG00000142634	1	15409888	15430339
CTRC	ENSG00000162438	1	15438442	15449242
CELA2A	ENSG00000142615	1	15456728	15472091
CELA2B	ENSG00000215704	1	15465909	15491395
CASP9	ENSG00000132906	1	15490832	15526534
DNAJC16	ENSG00000116138	1	15526813	15592379
SCARNA21B	ENSG00000251866	1	15542165	15542304
AGMAT	ENSG00000116771	1	15571699	15585051
CHCHD2P6	ENSG00000235084	1	15604597	15605043
RNU7-179P	ENSG00000252417	1	15608078	15608145
CD24P1	ENSG00000236500	1	15614643	15614867
DDI2	ENSG00000197312	1	15617458	15669044
RSC1A1	ENSG00000215695	1	15659713	15662033
PLEKHM2	ENSG00000116786	1	15684320	15734769
SLC25A34	ENSG00000162461	1	15736258	15741392
SLC25A34-AS1	ENSG00000224459	1	15740048	15749896
TMEM82	ENSG00000162460	1	15742499	15747982
FBLIM1	ENSG00000162458	1	15756607	15786594
RPL12P14	ENSG00000224321	1	15792796	15793285
UQCRHL	ENSG00000233954	1	15807169	15809348
SPEN-AS1	ENSG00000179743	1	15834474	15848147
SPEN	ENSG00000065526	1	15836095	15940456
ZBTB17	ENSG00000116809	1	15941869	15976132
TBC1D3P6	ENSG00000224966	1	15989871	15994751
SRARP	ENSG00000183888	1	16004236	16008807
HSPB7	ENSG00000173641	1	16014028	16019594
CLCNKA	ENSG00000186510	1	16018875	16034050
FAM131C2P	ENSG00000232456	1	16035178	16040029
CLCNKB	ENSG00000184908	1	16040252	16057311
FAM131C	ENSG00000185519	1	16057769	16073651
EPHA2	ENSG00000142627	1	16124337	16156069
EPHA2-AS1	ENSG00000227959	1	16155176	16158148
ARHGEF19-AS1	ENSG00000234166	1	16197854	16198357
ARHGEF19	ENSG00000142632	1	16197854	16212652
ANO7L1	ENSG00000237276	1	16216469	16228027
CPLANE2	ENSG00000132881	1	16231692	16237183
MT1XP1	ENSG00000233929	1	16241213	16241398
FBXO42	ENSG00000037637	1	16246840	16352480
SZRD1	ENSG00000055070	1	16352575	16398145
RPL22P3	ENSG00000226457	1	16369150	16369530
SPATA21	ENSG00000187144	1	16387117	16437424
NECAP2	ENSG00000157191	1	16440721	16460078
LINC01772	ENSG00000226029	1	16460948	16468481
CROCCP3	ENSG00000290842	1	16467436	16499257
CROCCP3	ENSG00000080947	1	16474396	16491307
RNU1-1	ENSG00000206652	1	16514122	16514285
LINC01783	ENSG00000233421	1	16533886	16535649
RNU1-6P	ENSG00000277344	1	16534081	16534224
PDE4DIPP8	ENSG00000225710	1	16548651	16552531
NBPF1	ENSG00000219481	1	16562319	16613562
CROCCP2	ENSG00000291072	1	16618253	16644686
CROCCP2	ENSG00000215908	1	16618969	16657232
MST1P2	ENSG00000186301	1	16645622	16650289
RNU1-3	ENSG00000207513	1	16666785	16666948
EIF1AXP1	ENSG00000236698	1	16685621	16686055
ESPNP	ENSG00000268869	1	16692280	16720157
CROCC	ENSG00000058453	1	16740273	16972964
RNU1-4	ENSG00000207389	1	16740516	16740679
CROCCP4	ENSG00000227684	1	16750233	16750964
MST1L	ENSG00000186715	1	16757232	16764480
PDE4DIPP9	ENSG00000230239	1	16855407	16859284
MIR3675	ENSG00000263811	1	16858949	16859021
RNU1-5P	ENSG00000277234	1	16873708	16873851
RNU1-2	ENSG00000207005	1	16895980	16896143
MFAP2	ENSG00000117122	1	16974502	16980632
ATP13A2	ENSG00000159363	1	16985958	17011928
SDHB	ENSG00000117118	1	17018722	17054032
PADI2	ENSG00000117115	1	17066761	17119451
LINC02783	ENSG00000204362	1	17189783	17197617
PADI1	ENSG00000142623	1	17205128	17246007
PADI3	ENSG00000142619	1	17249098	17284233
MIR3972	ENSG00000266634	1	17277889	17277975
PADI4	ENSG00000159339	1	17308195	17364004
PADI6	ENSG00000276747	1	17372196	17401699
RCC2	ENSG00000179051	1	17406760	17439677
RCC2-AS1	ENSG00000227751	1	17406760	17407382
ARHGEF10L	ENSG00000074964	1	17539698	17697874
LINC02810	ENSG00000236648	1	17717625	17749978
ACTL8	ENSG00000117148	1	17755333	17827063
LINC01654	ENSG00000261781	1	18065657	18074412
IGSF21	ENSG00000117154	1	18107798	18378483
IGSF21-AS1	ENSG00000230035	1	18166929	18179346
KLHDC7A	ENSG00000179023	1	18480930	18485974
DYNLL1P3	ENSG00000235282	1	18513118	18513383
PAX7	ENSG00000009709	1	18630846	18748866
TAS1R2	ENSG00000179002	1	18839599	18859660
ALDH4A1	ENSG00000159423	1	18871430	18902724
MIR4695	ENSG00000265606	1	18883202	18883275
MIR1290	ENSG00000221662	1	18897071	18897148
IFFO2	ENSG00000169991	1	18904280	18956676
UBR4	ENSG00000127481	1	19074510	19210266
EMC1-AS1	ENSG00000230424	1	19210348	19240709
EMC1	ENSG00000127463	1	19215660	19251552
MRTO4	ENSG00000053372	1	19251805	19260128
AKR7L	ENSG00000211454	1	19265982	19274194
AKR7A3	ENSG00000162482	1	19282573	19288770
AKR7A2	ENSG00000053371	1	19303965	19312144
RNU6-1099P	ENSG00000200403	1	19305076	19305182
SLC66A1	ENSG00000040487	1	19312326	19329300
CAPZB	ENSG00000077549	1	19338775	19485539
RN7SL277P	ENSG00000240490	1	19424384	19424671
MICOS10	ENSG00000173436	1	19484403	19629821
RNU4-28P	ENSG00000201609	1	19510593	19510733
MICOS10-DT	ENSG00000235185	1	19591802	19596832
NBL1	ENSG00000158747	1	19596979	19658456
MICOS10-NBL1	ENSG00000270136	1	19597067	19656927
HTR6	ENSG00000158748	1	19664875	19680966
TMCO4	ENSG00000162542	1	19682240	19799945
RNF186	ENSG00000178828	1	19814029	19815283
RNF186-AS1	ENSG00000235434	1	19814367	19819502
OTUD3	ENSG00000169914	1	19882395	19912945
PLA2G2E	ENSG00000188784	1	19920009	19923617
RN7SL304P	ENSG00000242688	1	19970969	19971269
PLA2G2A	ENSG00000188257	1	19975431	19980416
PLA2G5	ENSG00000127472	1	20028179	20091911
PLA2G2D	ENSG00000117215	1	20111939	20119566
PLA2G2F	ENSG00000158786	1	20139323	20150381
PLA2G2C	ENSG00000187980	1	20161253	20186518
UBXN10	ENSG00000162543	1	20186096	20196050
LINC01757	ENSG00000228105	1	20243095	20244664
VWA5B1	ENSG00000158816	1	20290875	20359518
LINC01141	ENSG00000236963	1	20360579	20431234
CAMK2N1	ENSG00000162545	1	20482391	20486210
MUL1	ENSG00000090432	1	20499448	20508151
RPS4XP4	ENSG00000215520	1	20525989	20526751
FAM43B	ENSG00000183114	1	20552573	20555020
CDA	ENSG00000158825	1	20589086	20618903
PINK1	ENSG00000158828	1	20633458	20651511
MIR6084	ENSG00000284005	1	20633679	20633788
PINK1-AS	ENSG00000117242	1	20642657	20652193
DDOST	ENSG00000244038	1	20651767	20661544
KIF17	ENSG00000117245	1	20664014	20718017
SH2D5	ENSG00000189410	1	20719731	20732837
HP1BP3	ENSG00000127483	1	20740266	20787323
EIF4G3	ENSG00000075151	1	20806292	21177285
RNU7-200P	ENSG00000251914	1	20841241	20841302
MIR1256	ENSG00000221808	1	20988314	20988432
RPS15AP6	ENSG00000233072	1	21003550	21003934
HSPE1P27	ENSG00000235112	1	21161475	21162081
ECE1	ENSG00000117298	1	21217247	21345572
ECE1-AS1	ENSG00000231105	1	21293290	21299874
PPP1R11P1	ENSG00000236216	1	21397987	21398362
PDE4DIPP10	ENSG00000228823	1	21411460	21413293
NBPF2P	ENSG00000227001	1	21424625	21427967
HS6ST1P1	ENSG00000187952	1	21428303	21429536
CROCCP5	ENSG00000186543	1	21434318	21437558
NBPF3	ENSG00000142794	1	21440128	21485005
PFN1P10	ENSG00000176378	1	21459756	21460082
ALPL	ENSG00000162551	1	21509397	21578410
LINC02596	ENSG00000233431	1	21586472	21591187
RAP1GAP	ENSG00000076864	1	21596221	21669357
USP48	ENSG00000090686	1	21678298	21783606
LDLRAD2	ENSG00000187942	1	21812265	21825225
HSPG2	ENSG00000142798	1	21822244	21937310
CELA3B	ENSG00000219073	1	21977022	21998642
RN7SL386P	ENSG00000273610	1	21987481	21987777
RNU6-1022P	ENSG00000201919	1	21987816	21987919
CELA3A	ENSG00000142789	1	22001657	22012542
RN7SL186P	ENSG00000278124	1	22010650	22010946
RNU6-776P	ENSG00000201273	1	22010985	22011088
LINC01635	ENSG00000228397	1	22023990	22026048
LINC00339	ENSG00000218510	1	22024558	22031223
CDC42-AS1	ENSG00000285752	1	22028317	22052927
CDC42	ENSG00000070831	1	22052627	22101360
CDC42-IT1	ENSG00000230068	1	22059197	22064199
MPHOSPH6P1	ENSG00000271428	1	22068340	22068827
WNT4	ENSG00000162552	1	22117313	22143969
MIR4418	ENSG00000266564	1	22266239	22266300
PPIAP34	ENSG00000234397	1	22322840	22323331
ZBTB40	ENSG00000184677	1	22428838	22531157
ZBTB40-IT1	ENSG00000237200	1	22517474	22519708
EPHA8	ENSG00000070886	1	22563489	22603595
MIR6127	ENSG00000276835	1	22633258	22633366
C1QA	ENSG00000173372	1	22635077	22639678
C1QC	ENSG00000159189	1	22643014	22648110
C1QB	ENSG00000173369	1	22652762	22661637
EPHB2	ENSG00000133216	1	22710839	22921500
MIR4684	ENSG00000265422	1	22719517	22719598
MIR4253	ENSG00000264014	1	22863159	22863226
LACTBL1	ENSG00000215906	1	22953043	22972866
TEX46	ENSG00000227868	1	23010834	23019100
