ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3715	"ENSG00000108344.10"	"PSMD3"	chr17	+	38142861	38143101	38142861	38142965	38144935	38145174	3715	67,29	531,254	1,0	187,209	197	99	2.14374074048e-11	2.02363489182e-08	0.06,0.054	0.003,0.0	0.055
14091	"ENSG00000122565.14"	"CBX3"	chr7	+	26241384	26241633	26241384	26241446	26242590	26242642	14091	38,63	397,603	27,18	887,865	197	99	2.37326824859e-11	2.08479749297e-08	0.046,0.05	0.015,0.01	0.036
9298	"ENSG00000122566.16"	"HNRNPA2B1"	chr7	-	26236020	26236242	26236176	26236242	26235486	26235529	9298	3400,1768	74,39	1338,1049	1,1	197	99	2.75760525525e-11	2.30706508236e-08	0.958,0.958	0.999,0.998	-0.04
23186	"ENSG00000173812.6"	"EIF1"	chr17	+	39846029	39846260	39846029	39846193	39846339	39846533	23186	150,182	2209,951	27,26	653,848	165	99	4.32387459171e-11	3.45300694099e-08	0.039,0.103	0.024,0.018	0.05
9961	"ENSG00000102317.13"	"RBM3"	chrX	+	48433948	48434471	48433948	48434055	48434701	48434738	9961	91,131	335,315	44,28	352,305	197	99	8.26506640905e-11	6.31343268437e-08	0.12,0.173	0.059,0.044	0.095
22581	"ENSG00000164032.7"	"H2AFZ"	chr4	-	100869967	100870209	100870058	100870209	100869328	100869680	22581	206,8	38,19	289,531	0,0	189	99	8.99250673925e-11	6.58288962091e-08	0.74,0.181	1.0,1.0	-0.539
8880	"ENSG00000116459.6"	"ATP5F1"	chr1	+	111992086	111992313	111992086	111992203	111992458	111992495	8880	55,18	359,995	2,2	530,1275	197	99	1.3555645495e-10	9.52636542807e-08	0.071,0.009	0.002,0.001	0.038
21126	"ENSG00000229117.4"	"RPL41"	chr12	+	56510523	56510647	56510523	56510583	56510972	56511153	21126	406,731	11588,12409	304,227	12569,11310	162	99	1.70612524109e-10	1.15288132157e-07	0.021,0.035	0.015,0.012	0.015
11351	"ENSG00000106263.13"	"EIF3B"	chr7	+	2416584	2416769	2416584	2416710	2418323	2418480	11351	62,20	486,303	1,2	243,236	157	99	2.51401566231e-10	1.59300720159e-07	0.074,0.04	0.003,0.005	0.053
26134	"ENSG00000148303.12"	"RPL7A"	chr9	+	136217078	136217269	136217078	136217174	136217451	136217550	26134	94,205	4260,2914	48,41	3365,3229	193	99	2.53880139134e-10	1.59300720159e-07	0.011,0.035	0.007,0.006	0.017
20966	"ENSG00000163466.11"	"ARPC2"	chr2	+	219114086	219114296	219114086	219114187	219114543	219114644	20966	52,12	396,158	1,0	188,219	197	99	3.16237924736e-10	1.9158565861e-07	0.062,0.037	0.003,0.0	0.048
9173	"ENSG00000176986.10"	"SEC24C"	chr10	+	75530466	75530631	75530466	75530556	75530712	75530993	9173	85,49	958,417	1,1	205,225	173	99	3.97736177327e-10	2.32927563315e-07	0.048,0.063	0.003,0.003	0.052
16589	"ENSG00000166986.8"	"MARS"	chr12	+	57883611	57883841	57883611	57883754	57883989	57884141	16589	29,35	136,160	6,5	186,165	185	99	1.00829711247e-09	5.71444257064e-07	0.102,0.105	0.017,0.016	0.087
27680	"ENSG00000164104.7"	"HMGB2"	chr4	-	174254219	174254297	174254268	174254297	174253971	174254146	27680	2658,1669	46,138	1916,1433	25,16	147	99	1.30398258857e-09	7.15927190581e-07	0.975,0.891	0.981,0.984	-0.049
18787	"ENSG00000130826.11"	"DKC1"	chrX	+	154004429	154004665	154004429	154004599	154005073	154005964	18787	53,31	694,385	3,3	353,337	164	99	1.98188976341e-09	1.05514609859e-06	0.044,0.046	0.005,0.005	0.04
28083	"ENSG00000089157.11"	"RPLP0"	chr12	-	120638521	120638634	120638532	120638634	120637112	120637288	28083	243,356	10634,9835	172,98	10886,8514	109	99	2.45100006957e-09	1.26651824183e-06	0.02,0.032	0.014,0.01	0.014
4235	"ENSG00000135486.13"	"HNRNPA1"	chr12	+	54675169	54675725	54675169	54675286	54675873	54676084	4235	9112,5562	42,115	8685,8022	23,16	197	99	2.86458279319e-09	1.43793871696e-06	0.991,0.96	0.995,0.996	-0.02
22846	"ENSG00000106636.3"	"YKT6"	chr7	+	44250621	44250868	44250621	44250723	44251845	44253893	22846	82,39	431,242	1,0	90,107	197	99	3.44753148251e-09	1.68249112823e-06	0.087,0.075	0.006,0.0	0.078
17127	"ENSG00000159352.11"	"PSMD4"	chr1	+	151237307	151237504	151237307	151237394	151237641	151237710	17127	19,39	209,405	12,8	535,504	197	99	3.98306032601e-09	1.79431761199e-06	0.044,0.046	0.011,0.008	0.035
23115	"ENSG00000037474.10"	"NSUN2"	chr5	-	6611756	6611963	6611837	6611963	6611067	6611198	23115	11,10	87,41	0,0	111,176	179	99	3.80635212238e-09	1.79431761199e-06	0.065,0.119	0.0,0.0	0.092
341	"ENSG00000101158.8"	"NELFCD"	chr20	+	57566366	57566613	57566366	57566501	57566935	57567075	341	65,34	306,174	5,5	152,158	197	99	3.96675226e-09	1.79431761199e-06	0.096,0.089	0.016,0.016	0.076
27604	"ENSG00000080986.8"	"NDC80"	chr18	+	2571563	2571768	2571563	2571682	2572975	2573085	27604	41,43	393,166	9,6	262,235	184	99	6.41696329406e-09	2.81849070283e-06	0.053,0.122	0.018,0.014	0.071
21480	"ENSG00000171453.13"	"POLR1C"	chr6	+	43487443	43487643	43487443	43487576	43487803	43487906	21480	42,85	194,315	16,15	249,214	165	99	6.77498335211e-09	2.90316298813e-06	0.115,0.139	0.037,0.04	0.088
3252	"ENSG00000205250.4"	"E2F4"	chr16	+	67231424	67231653	67231424	67231549	67231769	67231814	3252	103,49	151,92	3,3	47,41	197	99	7.0525109086e-09	2.95013247984e-06	0.255,0.211	0.031,0.035	0.2
28362	"ENSG00000111011.13"	"RSRC2"	chr12	-	123003385	123003576	123003461	123003576	123001773	123001977	28362	1085,470	30,29	434,387	0,0	174	99	8.2223033937e-09	3.35948019358e-06	0.954,0.902	1.0,1.0	-0.072
26160	"ENSG00000182307.8"	"C8orf33"	chr8	+	146278447	146278590	146278447	146278532	146278682	146278923	26160	64,39	149,256	0,1	77,73	156	99	8.70623440008e-09	3.47635982216e-06	0.214,0.088	0.0,0.009	0.146
14277	"ENSG00000099783.7"	"HNRNPM"	chr19	+	8551860	8552102	8551860	8551959	8553574	8553994	14277	98,49	1038,483	1,2	201,204	197	99	9.63934954079e-09	3.76341626849e-06	0.045,0.049	0.002,0.005	0.043
5594	"ENSG00000145741.11"	"BTF3"	chr5	+	72794297	72794411	72794297	72794383	72794958	72795009	5594	76,90	3065,2561	44,30	3797,2980	126	99	1.33480891895e-08	5.09809954283e-06	0.019,0.027	0.009,0.008	0.014
3423	"ENSG00000126453.5"	"BCL2L12"	chr19	+	50172288	50172471	50172288	50172372	50173472	50173745	3423	167,81	266,121	3,3	42,38	197	99	1.39109203046e-08	5.20002040067e-06	0.24,0.252	0.035,0.038	0.209
25596	"ENSG00000179218.9"	"CALR"	chr19	+	13051557	13051789	13051557	13051701	13054350	13054443	25596	82,158	3934,2580	47,32	4271,2766	186	99	1.89162301378e-08	6.92373431856e-06	0.011,0.032	0.006,0.006	0.015
14206	"ENSG00000182899.10"	"RPL35A"	chr3	+	197677064	197677302	197677064	197677170	197677806	197677840	14206	74,46	205,199	6,4	93,109	197	99	1.98132876772e-08	7.1040745143e-06	0.154,0.104	0.031,0.018	0.105
3353	"ENSG00000233927.4"	"RPS28"	chr19	+	8386517	8386703	8386517	8386587	8386836	8387044	3353	1000,378	18165,7669	3,2	452,407	197	99	3.8333824337e-08	1.34697391955e-05	0.027,0.024	0.003,0.002	0.023
9236	"ENSG00000124275.10"	"MTRR"	chr5	+	7885897	7886124	7885897	7885967	7886727	7886816	9236	34,15	58,31	1,1	39,39	197	99	4.80221420407e-08	1.65431571277e-05	0.228,0.196	0.013,0.013	0.199
11097	"ENSG00000113649.7"	"TCERG1"	chr5	+	145862154	145862371	145862154	145862290	145863102	145863192	11097	150,118	218,175	72,50	244,190	179	99	5.88735468154e-08	1.98913335385e-05	0.276,0.272	0.14,0.127	0.141
24875	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28840721	28840883	28840721	28840813	28841178	28841379	24875	60,37	386,214	5,5	172,172	168	99	6.72634140608e-08	2.22971872006e-05	0.084,0.092	0.017,0.017	0.071
19139	"ENSG00000079616.8"	"KIF22"	chr16	+	29809913	29810156	29809913	29810068	29810295	29810505	19139	47,49	411,398	13,10	389,338	186	99	8.67779855751e-08	2.82333783068e-05	0.057,0.061	0.017,0.016	0.042
21523	"ENSG00000029364.7"	"SLC39A9"	chr14	+	69890810	69890988	69890810	69890919	69908785	69908983	21523	24,13	38,32	0,0	36,29	167	99	1.13897671183e-07	3.63830579093e-05	0.272,0.194	0.0,0.0	0.233
3055	"ENSG00000168439.12"	"STIP1"	chr11	+	63970347	63970506	63970347	63970384	63970596	63970700	3055	50,17	255,131	1,1	96,101	197	99	1.18616071521e-07	3.6861044741e-05	0.09,0.061	0.005,0.005	0.07
9845	"ENSG00000198563.9"	"DDX39B"	chr6	-	31498829	31498974	31498886	31498974	31498555	31498703	9845	100,99	8,7	202,290	0,0	155	99	1.19590161662e-07	3.6861044741e-05	0.889,0.9	1.0,1.0	-0.105
26651	"ENSG00000169375.11"	"SIN3A"	chr15	-	75692263	75692497	75692380	75692497	75688598	75688837	26651	18,5	19,13	0,0	34,32	197	99	1.40615562638e-07	4.25943934481e-05	0.323,0.162	0.0,0.0	0.242
23175	"ENSG00000075415.8"	"SLC25A3"	chr12	+	98989387	98989626	98989387	98989439	98991633	98991813	23175	1343,667	139,64	136,189	1,2	197	99	1.45465048895e-07	4.33165329498e-05	0.829,0.84	0.986,0.979	-0.148
2072	"ENSG00000055044.6"	"NOP58"	chr2	+	203160396	203160591	203160396	203160560	203162101	203162156	2072	27,11	73,121	0,1	79,115	129	99	1.65944019193e-07	4.85911745534e-05	0.221,0.065	0.0,0.007	0.14
11356	"ENSG00000106263.13"	"EIF3B"	chr7	+	2403266	2403486	2403266	2403395	2404006	2404225	11356	41,25	671,378	4,5	489,380	189	99	1.8282172265e-07	5.10689330728e-05	0.031,0.033	0.004,0.007	0.027
14276	"ENSG00000099783.7"	"HNRNPM"	chr19	+	8551860	8552106	8551860	8551959	8553574	8553994	14276	98,49	1038,483	3,3	213,207	197	99	1.78024863629e-07	5.10689330728e-05	0.045,0.049	0.007,0.007	0.04
18567	"ENSG00000130560.4"	"UBAC1"	chr9	-	138837602	138837843	138837734	138837843	138836873	138837096	18567	48,27	509,565	20,11	858,644	197	99	1.83126118936e-07	5.10689330728e-05	0.045,0.023	0.012,0.009	0.024
18899	"ENSG00000099917.13"	"MED15"	chr22	+	20938623	20938793	20938623	20938712	20939141	20939302	18899	167,67	542,292	1,1	62,53	179	99	1.87179938216e-07	5.13838177268e-05	0.146,0.113	0.009,0.01	0.12
11357	"ENSG00000106263.13"	"EIF3B"	chr7	+	2403266	2403490	2403266	2403395	2404006	2404225	11357	40,30	920,604	10,7	1082,1062	193	99	2.0514941268e-07	5.5450308175e-05	0.022,0.025	0.005,0.003	0.019
1617	"ENSG00000135932.6"	"CAB39"	chr2	+	231682468	231682711	231682468	231682612	231683230	231685790	1617	44,21	296,179	1,1	117,118	197	99	2.61681041835e-07	6.95524771806e-05	0.07,0.056	0.004,0.004	0.059
19893	"ENSG00000096746.13"	"HNRNPH3"	chr10	+	70098259	70098426	70098259	70098399	70098896	70098983	19893	346,384	214,170	247,176	251,219	125	99	2.6611845616e-07	6.95524771806e-05	0.562,0.641	0.438,0.389	0.188
27569	"ENSG00000163468.10"	"CCT3"	chr1	-	156304503	156304699	156304658	156304699	156303337	156303434	27569	1184,1024	0,45	1498,1324	5,4	197	99	2.6919963847e-07	6.95524771806e-05	1.0,0.92	0.993,0.994	-0.034
3421	"ENSG00000126453.5"	"BCL2L12"	chr19	+	50170275	50170467	50170275	50170418	50172107	50172194	3421	126,44	153,88	3,3	38,35	147	99	2.86412215167e-07	7.29271914242e-05	0.357,0.252	0.05,0.055	0.252
16952	"ENSG00000118705.12"	"RPN2"	chr20	+	35856952	35857175	35856952	35857147	35858375	35858462	16952	37,41	687,566	14,13	843,644	126	99	3.02193265189e-07	7.58461925158e-05	0.041,0.054	0.013,0.016	0.033
10026	"ENSG00000013810.14"	"TACC3"	chr4	+	1732875	1733119	1732875	1733028	1736999	1737113	10026	102,44	292,170	2,3	61,66	189	99	3.52474749055e-07	8.72201248753e-05	0.155,0.119	0.017,0.023	0.117
8765	"ENSG00000107164.15"	"FUBP3"	chr9	+	133506014	133506237	133506014	133506175	133506943	133507017	8765	44,23	125,70	0,1	41,46	160	99	5.30860825632e-07	0.000129537414521	0.179,0.169	0.0,0.013	0.167
9400	"ENSG00000149923.9"	"PPP4C"	chr16	+	30094066	30094284	30094066	30094168	30094714	30094888	9400	28,64	114,99	12,5	113,89	197	99	5.59784721355e-07	0.000134724079034	0.11,0.245	0.051,0.027	0.138
17709	"ENSG00000051596.5"	"THOC3"	chr5	-	175387932	175388154	175388053	175388154	175386885	175387135	17709	9,7	19,28	0,0	48,53	197	99	5.95556861271e-07	0.000141396466158	0.192,0.112	0.0,0.0	0.152
8998	"ENSG00000265500.1"	"SENP3-EIF4A1"	chr17	+	7477865	7478044	7477865	7477996	7478436	7478576	8998	137,47	3548,1725	3,3	675,691	146	99	7.48819724339e-07	0.000175413516492	0.026,0.018	0.003,0.003	0.019
24076	"ENSG00000113810.11"	"SMC4"	chr3	+	160129707	160129935	160129707	160129872	160130113	160130637	24076	20,10	264,107	1,3	253,248	161	99	8.45625297008e-07	0.000195484090041	0.045,0.054	0.002,0.007	0.045
15201	"ENSG00000071626.12"	"DAZAP1"	chr19	+	1422346	1422584	1422346	1422395	1425876	1425959	15201	91,66	486,328	67,48	674,649	197	99	1.12220740034e-06	0.000256052750865	0.086,0.092	0.048,0.036	0.047
6865	"ENSG00000108179.9"	"PPIF"	chr10	+	81111222	81111470	81111222	81111339	81112072	81112148	6865	28,27	296,469	7,4	392,349	197	99	1.16987867615e-06	0.000263507672581	0.045,0.028	0.009,0.006	0.029
6536	"ENSG00000103266.6"	"STUB1"	chr16	+	731444	731689	731444	731603	731792	732076	6536	21,23	86,87	8,6	137,126	184	99	1.31540043957e-06	0.000292535067377	0.116,0.125	0.03,0.025	0.093
23396	"ENSG00000168255.14"	"POLR2J3"	chr7	-	102212889	102213030	102212918	102213030	102210281	102210371	23396	78,28	178,45	47,30	261,166	127	99	1.33658233115e-06	0.0002935301872	0.255,0.327	0.123,0.123	0.168
20394	"ENSG00000196655.5"	"TRAPPC4"	chr11	+	118889852	118890134	118889852	118890027	118890859	118890963	20394	31,32	148,196	12,6	209,173	197	99	1.68517046906e-06	0.000365515555196	0.095,0.076	0.028,0.017	0.063
26816	"ENSG00000087365.10"	"SF3B2"	chr11	+	65825784	65825945	65825784	65825876	65826300	65826516	26816	95,77	378,317	41,28	354,308	167	99	1.86393201773e-06	0.000394547248428	0.13,0.126	0.064,0.051	0.071
6435	"ENSG00000116679.11"	"IVNS1ABP"	chr1	-	185276145	185276271	185276211	185276271	185274667	185274775	6435	29,13	4,3	134,128	0,0	164	99	1.84574949469e-06	0.000394547248428	0.814,0.723	1.0,1.0	-0.232
15915	"ENSG00000160201.7"	"U2AF1"	chr21	-	44520562	44524512	44524424	44524512	44515803	44515853	15915	939,1135	11,31	1115,1043	4,3	197	99	1.88745772656e-06	0.000394770771404	0.977,0.948	0.993,0.994	-0.031
27824	"ENSG00000198830.6"	"HMGN2"	chr1	+	26800193	26800308	26800193	26800223	26800575	26800626	27824	97,89	1240,1110	61,37	1449,1211	183	99	2.20835380127e-06	0.000454852734571	0.041,0.042	0.022,0.016	0.023
3375	"ENSG00000182199.6"	"SHMT2"	chr12	+	57626520	57626749	57626520	57626626	57626962	57627128	3375	62,33	338,168	4,4	119,109	197	99	2.2264975339e-06	0.000454852734571	0.084,0.09	0.017,0.018	0.069
1458	"ENSG00000247556.2"	"OIP5-AS1"	chr15	+	41578208	41578413	41578208	41578298	41590238	41590979	1458	62,28	132,78	6,6	63,68	197	99	2.3448251405e-06	0.000473519918315	0.191,0.153	0.046,0.042	0.128
12293	"ENSG00000165637.9"	"VDAC2"	chr10	+	76978820	76979114	76978820	76978973	76980500	76980728	12293	1770,811	41,14	520,580	0,0	197	99	2.76199309812e-06	0.000549700419859	0.956,0.967	1.0,1.0	-0.038
15363	"ENSG00000074800.9"	"ENO1"	chr1	-	8931949	8932045	8932006	8932045	8930510	8930569	15363	0,284	39,16	878,1428	0,0	155	99	2.78463984105e-06	0.000549700419859	0.0,0.919	1.0,1.0	-0.54
6636	"ENSG00000185651.10"	"UBE2L3"	chr22	+	21947050	21947289	21947050	21947245	21965145	21965332	6636	31,19	720,787	1,0	1104,1270	142	99	3.13022930853e-06	0.000611055541351	0.029,0.017	0.001,0.0	0.022
14054	"ENSG00000121774.13"	"KHDRBS1"	chr1	+	32503435	32503720	32503435	32503637	32504152	32504220	14054	27,52	762,611	13,10	711,581	181	99	3.27905480002e-06	0.000633073777819	0.019,0.044	0.01,0.009	0.022
14398	"ENSG00000135446.12"	"CDK4"	chr12	-	58144989	58145519	58145282	58145519	58144690	58144873	14398	65,42	5,5	153,178	0,0	197	99	3.42437001155e-06	0.000653160624788	0.867,0.808	1.0,1.0	-0.162
14987	"ENSG00000063244.8"	"U2AF2"	chr19	+	56174971	56175207	56174971	56175110	56179872	56179952	14987	144,73	667,346	1,1	64,59	195	99	3.45744994623e-06	0.000653160624788	0.099,0.097	0.008,0.009	0.089
16596	"ENSG00000166986.8"	"MARS"	chr12	+	57909702	57909941	57909702	57909774	57910027	57910120	16596	75,125	324,309	57,38	359,304	197	99	3.90616442647e-06	0.000730078753284	0.104,0.169	0.074,0.059	0.07
566	"ENSG00000135829.12"	"DHX9"	chr1	+	182845942	182846182	182845942	182846038	182847155	182847308	566	75,32	549,329	1,2	110,125	197	99	3.96826409788e-06	0.000733878230902	0.064,0.047	0.005,0.008	0.049
24879	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28844759	28844966	28844759	28844829	28845385	28845532	24879	2,86	14,359	16,16	161,261	197	99	4.76833572527e-06	0.000872655107888	0.067,0.107	0.048,0.03	0.048
5950	"ENSG00000100650.11"	"SRSF5"	chr14	+	70233809	70234097	70233809	70233972	70234854	70234999	5950	177,285	586,429	136,91	637,489	197	99	4.93294048654e-06	0.000893472488742	0.132,0.25	0.097,0.086	0.1
26813	"ENSG00000087365.10"	"SF3B2"	chr11	+	65826671	65826885	65826671	65826809	65826985	65827066	26813	54,22	447,299	0,1	92,134	174	99	6.22408295115e-06	0.00111582564662	0.064,0.04	0.0,0.004	0.05
25593	"ENSG00000179218.9"	"CALR"	chr19	+	13049420	13049658	13049420	13049584	13049947	13050049	25593	24,42	644,494	9,5	512,412	172	99	6.53240297288e-06	0.00115927058415	0.021,0.047	0.01,0.007	0.026
8356	"ENSG00000137312.10"	"FLOT1"	chr6	-	30708966	30709481	30709390	30709481	30708455	30708575	8356	461,277	48,43	399,290	21,9	197	99	7.09936961107e-06	0.00124728824697	0.828,0.764	0.905,0.942	-0.127
9077	"ENSG00000107949.12"	"BCCIP"	chr10	+	127519988	127520207	127519988	127520176	127522340	127522515	9077	16,9	24,192	0,0	79,134	129	99	7.68518062e-06	0.00133684097339	0.338,0.035	0.0,0.0	0.186
5406	"ENSG00000255292.2"	"SDHD"	chr11	+	111957626	111957846	111957626	111957683	111958580	111958697	5406	21,7	114,283	1,0	162,233	197	99	8.86556865298e-06	0.00152705074181	0.085,0.012	0.003,0.0	0.047
24073	"ENSG00000113810.11"	"SMC4"	chr3	+	160148386	160148617	160148386	160148531	160148819	160148993	24073	53,47	341,130	24,19	282,241	184	99	8.9882803157e-06	0.00153315628026	0.077,0.163	0.044,0.041	0.077
19894	"ENSG00000096746.13"	"HNRNPH3"	chr10	+	70098259	70098444	70098259	70098399	70098896	70098983	19894	1177,1294	214,170	966,777	251,219	143	99	1.01961828396e-05	0.00172246861836	0.792,0.841	0.727,0.711	0.098
5446	"ENSG00000015479.13"	"MATR3"	chr5	+	138658315	138658411	138658315	138658378	138661128	138661313	5446	3,1	2,1	65,75	0,0	131	99	1.03733224803e-05	0.00173570383482	0.531,0.43	1.0,1.0	-0.519
445	"ENSG00000087191.8"	"PSMC5"	chr17	+	61904819	61905044	61904819	61904874	61905497	61906923	445	34,8	78,0	1,1	190,185	197	99	1.08845963223e-05	0.00180407049799	0.18,1.0	0.003,0.003	0.587
12069	"ENSG00000084070.7"	"SMAP2"	chr1	+	40875428	40875638	40875428	40875507	40878687	40878774	12069	16,19	266,254	7,5	414,382	197	99	1.1506149072e-05	0.00185646806167	0.029,0.036	0.008,0.007	0.025
22736	"ENSG00000196235.9"	"SUPT5H"	chr19	+	39959945	39960144	39959945	39960038	39960758	39960914	22736	66,22	313,281	2,2	75,129	197	99	1.13284911361e-05	0.00185646806167	0.096,0.038	0.013,0.008	0.057
27890	"ENSG00000149480.2"	"MTA2"	chr11	-	62365717	62365862	62365798	62365862	62365495	62365613	27890	25,19	4,77	0,0	53,69	179	99	1.15177311584e-05	0.00185646806167	0.776,0.12	0.0,0.0	0.448
8427	"ENSG00000162910.14"	"MRPL55"	chr1	-	228296137	228296722	228296655	228296722	228295935	228296019	8427	47,65	15,20	28,16	28,25	197	99	1.2068291561e-05	0.00191016049041	0.612,0.62	0.334,0.243	0.328
9666	"ENSG00000108588.9"	"CCDC47"	chr17	-	61829226	61829467	61829299	61829467	61823762	61824321	9666	5,4	75,13	0,0	156,181	171	99	1.20147149161e-05	0.00191016049041	0.037,0.151	0.0,0.0	0.094
9388	"ENSG00000149923.9"	"PPP4C"	chr16	+	30094714	30095102	30094714	30094888	30095986	30096176	9388	88,318	37,22	90,113	0,0	197	99	1.40373184523e-05	0.002201978999	0.544,0.879	1.0,1.0	-0.288
2479	"ENSG00000254772.5"	"EEF1G"	chr11	-	62339011	62339154	62339095	62339154	62338374	62338580	2479	12910,10286	106,133	12414,9564	72,47	182	99	1.87270832886e-05	0.00291164713538	0.985,0.977	0.989,0.991	-0.009
5771	"ENSG00000100519.7"	"PSMC6"	chr14	+	53173919	53174247	53173919	53174022	53175026	53175106	5771	16,20	310,233	5,4	359,304	197	99	1.91937752583e-05	0.00295803015362	0.025,0.041	0.007,0.007	0.026
18788	"ENSG00000130826.11"	"DKC1"	chrX	+	154003469	154003682	154003469	154003548	154004461	154004540	18788	34,21	414,399	10,9	460,465	197	99	2.45376465409e-05	0.00371639579377	0.04,0.026	0.011,0.01	0.023
25361	"ENSG00000088682.9"	"COQ9"	chr16	+	57492157	57492389	57492157	57492262	57493476	57493632	25361	13,12	72,34	2,2	69,75	197	99	2.44119027332e-05	0.00371639579377	0.083,0.151	0.014,0.013	0.103
1249	"ENSG00000147140.11"	"NONO"	chrX	+	70517685	70517928	70517685	70517788	70518318	70518358	1249	166,162	723,143	63,54	446,463	197	99	2.65819916869e-05	0.00399161548673	0.103,0.363	0.066,0.055	0.172
